index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set
1,1.167700824,0.25,1.0,1.0,1.0,22.22,12.78,57,0,Training
2,0.917374729,0.5,1.0,1.0,1.0,22.22,12.78,57,0,Training
3,1.297104192,0.75,1.0,1.0,1.0,22.22,12.78,57,0,Training
4,1.266052273,1.0,1.0,1.0,1.0,22.22,12.78,57,0,Training
5,1.090125305,0.25,1.0,1.0,1.0,20.0,3.89,35,15,Training
6,1.052921425,0.75,1.0,1.0,1.0,20.0,3.89,35,15,Training
7,1.119102305,1.0,1.0,1.0,1.0,20.0,3.89,35,15,Validation
8,1.026983796,0.25,1.0,1.0,1.0,17.78,6.11,45,21,Training
9,0.895599657,0.5,1.0,1.0,1.0,17.78,6.11,45,21,Training
10,1.10519924,0.75,1.0,1.0,1.0,17.78,6.11,45,21,Training
11,1.097714257,0.75,1.0,1.0,1.0,12.22,2.78,54,28,Training
12,1.049343127,1.0,1.0,1.0,1.0,12.22,2.78,54,28,Training
13,0.930444648,0.25,1.0,1.0,1.0,15.0,3.89,48,29,Training
14,0.828436035,0.5,1.0,1.0,1.0,15.0,3.89,48,29,Training
15,1.027485609,0.75,1.0,1.0,1.0,15.0,3.89,48,29,Training
16,0.777663712,1.0,1.0,1.0,1.0,15.0,3.89,48,29,Training
17,0.772365315,0.25,1.0,1.0,1.0,17.22,5.0,45,34,Training
18,0.952883848,0.75,1.0,1.0,1.0,17.22,5.0,45,34,Training
19,0.971529676,1.0,1.0,1.0,1.0,17.22,5.0,45,34,Training
20,0.65000482,0.25,1.0,1.0,1.0,16.11,8.89,63,55,Validation
21,0.724939147,0.5,1.0,1.0,1.0,16.11,8.89,63,55,Validation
22,0.804678271,0.75,1.0,1.0,1.0,16.11,8.89,63,55,Training
23,0.783651754,1.0,1.0,1.0,1.0,16.11,8.89,63,55,Validation
24,0.526927289,0.5,1.0,1.0,1.0,12.78,7.78,72,77,Training
25,0.931575027,0.75,1.0,1.0,1.0,12.78,7.78,72,77,Training
26,0.630550799,1.0,1.0,1.0,1.0,12.78,7.78,72,77,Training
27,0.512288977,0.25,1.0,1.0,1.0,12.22,3.89,58,86,Training
28,0.49310923,0.5,1.0,1.0,1.0,12.22,3.89,58,86,Training
29,0.975388026,0.75,1.0,1.0,1.0,12.22,3.89,58,86,Training
30,0.61278982,1.0,1.0,1.0,1.0,12.22,3.89,58,86,Training
31,0.469407366,0.25,1.0,1.0,1.0,12.22,10.0,88,106,Training
32,0.599438841,0.5,1.0,1.0,1.0,12.22,10.0,88,106,Training
33,0.938063443,0.75,1.0,1.0,1.0,12.22,10.0,88,106,Training
34,0.599789035,1.0,1.0,1.0,1.0,12.22,10.0,88,106,Training
35,0.50625535,0.25,1.0,1.0,1.0,17.22,1.11,34,112,Training
36,0.565342929,0.5,1.0,1.0,1.0,17.22,1.11,34,112,Validation
37,0.976720713,0.75,1.0,1.0,1.0,17.22,1.11,34,112,Training
38,0.594969815,1.0,1.0,1.0,1.0,17.22,1.11,34,112,Training
39,0.56449392,0.25,1.0,1.0,1.0,16.11,2.78,42,119,Training
40,0.572828838,0.5,1.0,1.0,1.0,16.11,2.78,42,119,Training
41,0.941025618,0.75,1.0,1.0,1.0,16.11,2.78,42,119,Training
42,0.612252669,1.0,1.0,1.0,1.0,16.11,2.78,42,119,Training
43,0.558211279,0.25,1.0,1.0,1.0,16.11,8.89,63,126,Training
44,0.619732991,0.5,1.0,1.0,1.0,16.11,8.89,63,126,Validation
45,0.578923923,1.0,1.0,1.0,1.0,16.11,8.89,63,126,Validation
46,0.550608381,0.5,1.0,1.0,1.0,15.0,11.11,77,133,Validation
47,0.91666136,0.75,1.0,1.0,1.0,15.0,11.11,77,133,Validation
48,0.559081092,1.0,1.0,1.0,1.0,15.0,11.11,77,133,Training
49,0.565806852,0.25,1.0,1.0,1.0,17.22,10.0,63,140,Training
50,0.615202319,0.5,1.0,1.0,1.0,17.22,10.0,63,140,Training
51,0.601513122,1.0,1.0,1.0,1.0,17.22,10.0,63,140,Validation
52,0.560455809,0.25,1.0,1.0,1.0,12.78,11.11,88,147,Training
53,0.616551214,0.5,1.0,1.0,1.0,12.78,11.11,88,147,Training
54,0.955921155,0.75,1.0,1.0,1.0,12.78,11.11,88,147,Training
55,0.514115959,1.0,1.0,1.0,1.0,12.78,11.11,88,147,Training
56,0.562557972,0.25,1.0,1.0,1.0,15.0,12.22,82,154,Validation
57,0.545409271,0.5,1.0,1.0,1.0,15.0,12.22,82,154,Training
58,0.945294468,0.75,1.0,1.0,1.0,15.0,12.22,82,154,Training
59,0.553495466,1.0,1.0,1.0,1.0,15.0,12.22,82,154,Training
60,0.474499473,0.25,1.0,1.0,1.0,12.78,6.11,63,161,Training
61,0.439277795,0.5,1.0,1.0,1.0,12.78,6.11,63,161,Training
62,0.92418169,0.75,1.0,1.0,1.0,12.78,6.11,63,161,Training
63,0.502315965,0.25,1.0,1.0,1.0,17.22,12.78,77,168,Training
64,0.485541077,0.5,1.0,1.0,1.0,17.22,12.78,77,168,Training
65,0.771581494,0.75,1.0,1.0,1.0,17.22,12.78,77,168,Training
66,0.528539973,1.0,1.0,1.0,1.0,17.22,12.78,77,168,Training
67,0.475635533,1.0,1.0,1.0,1.0,18.89,10.0,56,182,Training
