index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
73,0.430536075,0.5,1.2,1.2,1.0,20.0,3.89,35,7,Training,0.4622301093673655
74,0.528664002,0.5,1.1,1.1,1.0,20.0,3.89,35,7,Training,0.5299091943717101
75,0.629452696,0.5,1.0,1.0,1.0,20.0,3.89,35,7,Training,0.6818837668261333
76,0.470710945,0.5,1.11,1.0,0.9,20.0,3.89,35,7,Training,0.5048441169178566
77,1.179071417,0.5,1.25,1.0,0.8,20.0,3.89,35,7,Training,1.0955058720425979
78,0.432386117,0.5,1.2,1.2,1.0,17.78,6.11,45,13,Training,0.45974385198484924
79,0.483637812,0.5,1.1,1.1,1.0,17.78,6.11,45,13,Training,0.5094842569823232
80,0.631244487,0.5,1.0,1.0,1.0,17.78,6.11,45,13,Training,0.6818837668261333
81,0.427945073,0.5,1.11,1.0,0.9,17.78,6.11,45,13,Training,0.47452501175683665
82,1.193734878,0.5,1.25,1.0,0.8,17.78,6.11,45,13,Training,1.1050565003346509
83,0.425753015,0.5,1.2,1.2,1.0,12.22,2.78,54,20,Training,0.45893496106911313
84,0.506974214,0.5,1.1,1.1,1.0,12.22,2.78,54,20,Training,0.509246174166587
85,0.437369792,0.5,1.11,1.0,0.9,12.22,2.78,54,20,Training,0.4816311694236628
87,0.384668315,0.5,1.2,1.2,1.0,15.0,3.89,48,21,Training,0.437321823399485
89,0.585049053,0.5,1.0,1.0,1.0,15.0,3.89,48,21,Training,0.7178056072827953
90,0.411925115,0.5,1.11,1.0,0.9,15.0,3.89,48,21,Training,0.47369012956635587
91,1.128362401,0.5,1.25,1.0,0.8,15.0,3.89,48,21,Training,1.0521586606554352
92,0.453021355,0.5,1.1,1.1,1.0,17.22,5.0,45,26,Training,0.5008251376723563
93,0.56834793,0.5,1.0,1.0,1.0,17.22,5.0,45,26,Training,0.7141627576874963
94,0.418292641,0.5,1.11,1.0,0.9,17.22,5.0,45,26,Training,0.47369012956635587
95,1.09658479,0.5,1.25,1.0,0.8,17.22,5.0,45,26,Training,1.0293559856006387
