index,quantity DS HTL,P3HT,PCBM,temperature,dew point,hummidity,pressure,time,ratio P3HT:PCBM
63,0.15,0.7999999999999999,0.7,17.22,2.78,39.0,1007.79,2.0,1.1428571428571428
64,0.15,0.7999999999999999,0.7,17.22,2.78,39.0,1007.79,3.0,1.1428571428571428
65,0.15,0.7999999999999999,0.7,17.22,2.78,39.0,1007.79,4.0,1.1428571428571428
66,0.15,0.7999999999999999,0.7,17.22,2.78,39.0,1007.79,5.0,1.1428571428571428
67,0.15,0.7999999999999999,0.7999999999999999,17.22,2.78,39.0,1007.79,0.0,1.0
68,0.15,0.7999999999999999,0.7999999999999999,17.22,2.78,39.0,1007.79,1.0,1.0
69,0.15,0.7999999999999999,0.7999999999999999,17.22,2.78,39.0,1007.79,2.0,1.0
70,0.15,0.7999999999999999,0.7999999999999999,17.22,2.78,39.0,1007.79,3.0,1.0
71,0.15,0.7999999999999999,0.7999999999999999,17.22,2.78,39.0,1007.79,4.0,1.0
72,0.15,0.7999999999999999,0.7999999999999999,17.22,2.78,39.0,1007.79,5.0,1.0
73,0.15,0.7999999999999999,0.9,17.22,2.78,39.0,1007.79,0.0,0.8888888888888888
74,0.15,0.7999999999999999,0.9,17.22,2.78,39.0,1007.79,1.0,0.8888888888888888
75,0.15,0.7999999999999999,0.9,17.22,2.78,39.0,1007.79,2.0,0.8888888888888888
76,0.15,0.7999999999999999,0.9,17.22,2.78,39.0,1007.79,3.0,0.8888888888888888
77,0.15,0.7999999999999999,0.9,17.22,2.78,39.0,1007.79,4.0,0.8888888888888888
78,0.15,0.7999999999999999,0.9,17.22,2.78,39.0,1007.79,5.0,0.8888888888888888
79,0.15,0.7999999999999999,1.0,17.22,2.78,39.0,1007.79,0.0,0.7999999999999999
80,0.15,0.7999999999999999,1.0,17.22,2.78,39.0,1007.79,1.0,0.7999999999999999
81,0.15,0.7999999999999999,1.0,17.22,2.78,39.0,1007.79,2.0,0.7999999999999999
82,0.15,0.7999999999999999,1.0,17.22,2.78,39.0,1007.79,3.0,0.7999999999999999
83,0.15,0.7999999999999999,1.0,17.22,2.78,39.0,1007.79,4.0,0.7999999999999999
84,0.15,0.7999999999999999,1.0,17.22,2.78,39.0,1007.79,5.0,0.7999999999999999
85,0.15,0.7999999999999999,1.1,17.22,2.78,39.0,1007.79,0.0,0.7272727272727272
86,0.15,0.7999999999999999,1.1,17.22,2.78,39.0,1007.79,1.0,0.7272727272727272
87,0.15,0.7999999999999999,1.1,17.22,2.78,39.0,1007.79,2.0,0.7272727272727272
88,0.15,0.7999999999999999,1.1,17.22,2.78,39.0,1007.79,3.0,0.7272727272727272
89,0.15,0.7999999999999999,1.1,17.22,2.78,39.0,1007.79,4.0,0.7272727272727272
90,0.15,0.7999999999999999,1.1,17.22,2.78,39.0,1007.79,5.0,0.7272727272727272
91,0.15,0.7999999999999999,1.2000000000000002,17.22,2.78,39.0,1007.79,0.0,0.6666666666666665
92,0.15,0.7999999999999999,1.2000000000000002,17.22,2.78,39.0,1007.79,1.0,0.6666666666666665
93,0.15,0.7999999999999999,1.2000000000000002,17.22,2.78,39.0,1007.79,2.0,0.6666666666666665
94,0.15,0.7999999999999999,1.2000000000000002,17.22,2.78,39.0,1007.79,3.0,0.6666666666666665
95,0.15,0.7999999999999999,1.2000000000000002,17.22,2.78,39.0,1007.79,4.0,0.6666666666666665
96,0.15,0.7999999999999999,1.2000000000000002,17.22,2.78,39.0,1007.79,5.0,0.6666666666666665
97,0.15,0.7999999999999999,1.3,17.22,2.78,39.0,1007.79,0.0,0.6153846153846153
98,0.15,0.7999999999999999,1.3,17.22,2.78,39.0,1007.79,1.0,0.6153846153846153
99,0.15,0.7999999999999999,1.3,17.22,2.78,39.0,1007.79,2.0,0.6153846153846153
100,0.15,0.7999999999999999,1.3,17.22,2.78,39.0,1007.79,3.0,0.6153846153846153
101,0.15,0.7999999999999999,1.3,17.22,2.78,39.0,1007.79,4.0,0.6153846153846153
102,0.15,0.7999999999999999,1.3,17.22,2.78,39.0,1007.79,5.0,0.6153846153846153
103,0.15,0.7999999999999999,1.4000000000000001,17.22,2.78,39.0,1007.79,0.0,0.5714285714285713
104,0.15,0.7999999999999999,1.4000000000000001,17.22,2.78,39.0,1007.79,1.0,0.5714285714285713
105,0.15,0.7999999999999999,1.4000000000000001,17.22,2.78,39.0,1007.79,2.0,0.5714285714285713
106,0.15,0.7999999999999999,1.4000000000000001,17.22,2.78,39.0,1007.79,3.0,0.5714285714285713
107,0.15,0.7999999999999999,1.4000000000000001,17.22,2.78,39.0,1007.79,4.0,0.5714285714285713
108,0.15,0.7999999999999999,1.4000000000000001,17.22,2.78,39.0,1007.79,5.0,0.5714285714285713
109,0.15,0.7999999999999999,1.5,17.22,2.78,39.0,1007.79,0.0,0.5333333333333333
110,0.15,0.7999999999999999,1.5,17.22,2.78,39.0,1007.79,1.0,0.5333333333333333
111,0.15,0.7999999999999999,1.5,17.22,2.78,39.0,1007.79,2.0,0.5333333333333333
112,0.15,0.7999999999999999,1.5,17.22,2.78,39.0,1007.79,3.0,0.5333333333333333
113,0.15,0.7999999999999999,1.5,17.22,2.78,39.0,1007.79,4.0,0.5333333333333333
114,0.15,0.7999999999999999,1.5,17.22,2.78,39.0,1007.79,5.0,0.5333333333333333
115,0.15,0.7999999999999999,1.6,17.22,2.78,39.0,1007.79,0.0,0.49999999999999994
116,0.15,0.7999999999999999,1.6,17.22,2.78,39.0,1007.79,1.0,0.49999999999999994
117,0.15,0.7999999999999999,1.6,17.22,2.78,39.0,1007.79,2.0,0.49999999999999994
118,0.15,0.7999999999999999,1.6,17.22,2.78,39.0,1007.79,3.0,0.49999999999999994
119,0.15,0.7999999999999999,1.6,17.22,2.78,39.0,1007.79,4.0,0.49999999999999994
120,0.15,0.7999999999999999,1.6,17.22,2.78,39.0,1007.79,5.0,0.49999999999999994
121,0.15,0.9,0.7,17.22,2.78,39.0,1007.79,0.0,1.2857142857142858
122,0.15,0.9,0.7,17.22,2.78,39.0,1007.79,1.0,1.2857142857142858
123,0.15,0.9,0.7,17.22,2.78,39.0,1007.79,2.0,1.2857142857142858
124,0.15,0.9,0.7,17.22,2.78,39.0,1007.79,3.0,1.2857142857142858
125,0.15,0.9,0.7,17.22,2.78,39.0,1007.79,4.0,1.2857142857142858
126,0.15,0.9,0.7,17.22,2.78,39.0,1007.79,5.0,1.2857142857142858
127,0.15,0.9,0.7999999999999999,17.22,2.78,39.0,1007.79,0.0,1.1250000000000002
128,0.15,0.9,0.7999999999999999,17.22,2.78,39.0,1007.79,1.0,1.1250000000000002
129,0.15,0.9,0.7999999999999999,17.22,2.78,39.0,1007.79,2.0,1.1250000000000002
130,0.15,0.9,0.7999999999999999,17.22,2.78,39.0,1007.79,3.0,1.1250000000000002
131,0.15,0.9,0.7999999999999999,17.22,2.78,39.0,1007.79,4.0,1.1250000000000002
132,0.15,0.9,0.7999999999999999,17.22,2.78,39.0,1007.79,5.0,1.1250000000000002
133,0.15,0.9,0.9,17.22,2.78,39.0,1007.79,0.0,1.0
134,0.15,0.9,0.9,17.22,2.78,39.0,1007.79,1.0,1.0
135,0.15,0.9,0.9,17.22,2.78,39.0,1007.79,2.0,1.0
136,0.15,0.9,0.9,17.22,2.78,39.0,1007.79,3.0,1.0
137,0.15,0.9,0.9,17.22,2.78,39.0,1007.79,4.0,1.0
138,0.15,0.9,0.9,17.22,2.78,39.0,1007.79,5.0,1.0
139,0.15,0.9,1.0,17.22,2.78,39.0,1007.79,0.0,0.9
140,0.15,0.9,1.0,17.22,2.78,39.0,1007.79,1.0,0.9
141,0.15,0.9,1.0,17.22,2.78,39.0,1007.79,2.0,0.9
142,0.15,0.9,1.0,17.22,2.78,39.0,1007.79,3.0,0.9
143,0.15,0.9,1.0,17.22,2.78,39.0,1007.79,4.0,0.9
144,0.15,0.9,1.0,17.22,2.78,39.0,1007.79,5.0,0.9
145,0.15,0.9,1.1,17.22,2.78,39.0,1007.79,0.0,0.8181818181818181
146,0.15,0.9,1.1,17.22,2.78,39.0,1007.79,1.0,0.8181818181818181
147,0.15,0.9,1.1,17.22,2.78,39.0,1007.79,2.0,0.8181818181818181
148,0.15,0.9,1.1,17.22,2.78,39.0,1007.79,3.0,0.8181818181818181
149,0.15,0.9,1.1,17.22,2.78,39.0,1007.79,4.0,0.8181818181818181
150,0.15,0.9,1.1,17.22,2.78,39.0,1007.79,5.0,0.8181818181818181
