index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
81,0.427945073,0.5,1.11,1.0,0.9,17.78,6.11,45,13,Training,0.5592202026414006
82,1.193734878,0.5,1.25,1.0,0.8,17.78,6.11,45,13,Training,1.160450180065759
84,0.506974214,0.5,1.1,1.1,1.0,12.22,2.78,54,20,Training,0.615864521012701
86,1.147635124,0.5,1.25,1.0,0.8,12.22,2.78,54,20,Training,1.068212769532882
87,0.384668315,0.5,1.2,1.2,1.0,15.0,3.89,48,21,Training,0.49646589748788883
88,0.49736583,0.5,1.1,1.1,1.0,15.0,3.89,48,21,Training,0.6500113770572773
89,0.585049053,0.5,1.0,1.0,1.0,15.0,3.89,48,21,Training,0.8035568566266653
90,0.411925115,0.5,1.11,1.0,0.9,15.0,3.89,48,21,Training,0.5011296481530991
91,1.128362401,0.5,1.25,1.0,0.8,15.0,3.89,48,21,Training,1.1023596255774584
92,0.453021355,0.5,1.1,1.1,1.0,17.22,5.0,45,26,Training,0.6705810285354424
94,0.418292641,0.5,1.11,1.0,0.9,17.22,5.0,45,26,Training,0.5216992996312648
97,0.496965052,0.5,1.1,1.1,1.0,16.11,8.89,63,47,Training,0.6388164109345611
100,0.350119849,0.5,1.2,1.2,1.0,12.78,7.78,72,69,Training,0.3995686498464879
101,0.434195639,0.5,1.1,1.1,1.0,12.78,7.78,72,69,Training,0.553114129415875
102,0.539906641,0.5,1.0,1.0,1.0,12.78,7.78,72,69,Training,0.7066596089852639
103,0.372726732,0.5,1.11,1.0,0.9,12.78,7.78,72,69,Training,0.4042324005116975
105,0.456260932,0.5,1.1,1.1,1.0,12.22,3.89,58,78,Training,0.5059035274202902
106,0.536703421,0.5,1.0,1.0,1.0,12.22,3.89,58,78,Training,0.6594490069896779
107,0.385337873,0.5,1.11,1.0,0.9,12.22,3.89,58,78,Training,0.3570217985161124
108,0.372614967,0.5,1.2,1.2,1.0,12.22,10.0,88,98,Training,0.3508275788801798
109,0.4830183,0.5,1.1,1.1,1.0,12.22,10.0,88,98,Training,0.5043730584495674
110,0.561212369,0.5,1.0,1.0,1.0,12.22,10.0,88,98,Training,0.6579185380189558
112,0.989621572,0.5,1.25,1.0,0.8,12.22,10.0,88,98,Training,0.9567213069697484
113,0.356893347,0.5,1.2,1.2,1.0,17.22,1.11,34,104,Training,0.3397360653709647
114,0.574729323,0.5,1.0,1.0,1.0,17.22,1.11,34,104,Training,0.6468270245097407
115,0.340614017,0.5,1.11,1.0,0.9,17.22,1.11,34,104,Training,0.34439981603617564
116,0.892249893,0.5,1.25,1.0,0.8,17.22,1.11,34,104,Training,0.9456297934605333
117,0.371755573,0.5,1.2,1.2,1.0,16.11,2.78,42,111,Training,0.32243884459552796
118,0.468562853,0.5,1.1,1.1,1.0,16.11,2.78,42,111,Training,0.4759843241649153
119,0.579998859,0.5,1.0,1.0,1.0,16.11,2.78,42,111,Training,0.629529803734304
120,0.400197432,0.5,1.11,1.0,0.9,16.11,2.78,42,111,Training,0.32710259526073737
121,0.941690931,0.5,1.25,1.0,0.8,16.11,2.78,42,111,Training,0.9283325726850953
122,0.352322598,0.5,1.2,1.2,1.0,16.11,8.89,63,118,Training,0.34289066787090516
123,0.403766566,0.5,1.1,1.1,1.0,16.11,8.89,63,118,Training,0.4964361474402934
125,0.363799107,0.5,1.2,1.2,1.0,15.0,11.11,77,125,Training,0.3305644426909209
128,0.369159567,0.5,1.2,1.2,1.0,17.22,10.0,63,132,Training,0.3330616496500436
129,0.476260423,0.5,1.1,1.1,1.0,17.22,10.0,63,132,Training,0.48660712921943183
130,0.509081229,0.5,1.0,1.0,1.0,17.22,10.0,63,132,Training,0.6401526087888196
131,0.37035753,0.5,1.11,1.0,0.9,17.22,10.0,63,132,Training,0.3377254003152541
