index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
81,0.427945073,0.5,1.11,1.0,0.9,17.78,6.11,45,13,Training,0.4266724839304963
82,1.193734878,0.5,1.25,1.0,0.8,17.78,6.11,45,13,Training,1.0075265093715986
83,0.425753015,0.5,1.2,1.2,1.0,12.22,2.78,54,20,Training,0.43353858909123233
84,0.506974214,0.5,1.1,1.1,1.0,12.22,2.78,54,20,Training,0.4818504409634766
85,0.437369792,0.5,1.11,1.0,0.9,12.22,2.78,54,20,Training,0.4601252182662118
89,0.585049053,0.5,1.0,1.0,1.0,15.0,3.89,48,21,Training,0.5969827672432816
91,1.128362401,0.5,1.25,1.0,0.8,15.0,3.89,48,21,Training,1.0429313403172034
92,0.453021355,0.5,1.1,1.1,1.0,17.22,5.0,45,26,Training,0.492978416912465
93,0.56834793,0.5,1.0,1.0,1.0,17.22,5.0,45,26,Training,0.6305073886670816
94,0.418292641,0.5,1.11,1.0,0.9,17.22,5.0,45,26,Training,0.4242328206066236
95,1.09658479,0.5,1.25,1.0,0.8,17.22,5.0,45,26,Training,1.0141361323319273
96,0.386665943,0.5,1.2,1.2,1.0,16.11,8.89,63,47,Training,0.3797710600106253
97,0.496965052,0.5,1.1,1.1,1.0,16.11,8.89,63,47,Training,0.4533889220290791
98,0.591496449,0.5,1.0,1.0,1.0,16.11,8.89,63,47,Training,0.6454780321259633
99,0.416701285,0.5,1.11,1.0,0.9,16.11,8.89,63,47,Training,0.38187088461233426
100,0.350119849,0.5,1.2,1.2,1.0,12.78,7.78,72,69,Training,0.3460948415558509
101,0.434195639,0.5,1.1,1.1,1.0,12.78,7.78,72,69,Training,0.4513204893773786
103,0.372726732,0.5,1.11,1.0,0.9,12.78,7.78,72,69,Training,0.3798542066967585
104,0.989863056,0.5,1.25,1.0,0.8,12.78,7.78,72,69,Training,0.9663210490513674
105,0.456260932,0.5,1.1,1.1,1.0,12.22,3.89,58,78,Training,0.4251585656755913
106,0.536703421,0.5,1.0,1.0,1.0,12.22,3.89,58,78,Training,0.5119950940317274
107,0.385337873,0.5,1.11,1.0,0.9,12.22,3.89,58,78,Training,0.3837975796467722
108,0.372614967,0.5,1.2,1.2,1.0,12.22,10.0,88,98,Training,0.40349898809500573
109,0.4830183,0.5,1.1,1.1,1.0,12.22,10.0,88,98,Training,0.49301804792086823
110,0.561212369,0.5,1.0,1.0,1.0,12.22,10.0,88,98,Training,0.5330680699073109
111,0.388483675,0.5,1.11,1.0,0.9,12.22,10.0,88,98,Training,0.39463230701237895
112,0.989621572,0.5,1.25,1.0,0.8,12.22,10.0,88,98,Training,0.978733031482048
113,0.356893347,0.5,1.2,1.2,1.0,17.22,1.11,34,104,Training,0.37013566331033665
114,0.574729323,0.5,1.0,1.0,1.0,17.22,1.11,34,104,Training,0.538053273236135
115,0.340614017,0.5,1.11,1.0,0.9,17.22,1.11,34,104,Training,0.352256563807714
116,0.892249893,0.5,1.25,1.0,0.8,17.22,1.11,34,104,Training,0.8568403866122994
117,0.371755573,0.5,1.2,1.2,1.0,16.11,2.78,42,111,Training,0.37188153697354076
118,0.468562853,0.5,1.1,1.1,1.0,16.11,2.78,42,111,Training,0.46708817232526345
119,0.579998859,0.5,1.0,1.0,1.0,16.11,2.78,42,111,Training,0.5217526835895638
120,0.400197432,0.5,1.11,1.0,0.9,16.11,2.78,42,111,Training,0.35112273959254037
125,0.363799107,0.5,1.2,1.2,1.0,15.0,11.11,77,125,Training,0.384016285060783
126,0.429654858,0.5,1.1,1.1,1.0,15.0,11.11,77,125,Training,0.5007576336778363
127,0.3570133,0.5,1.11,1.0,0.9,15.0,11.11,77,125,Training,0.39653621975532866
128,0.369159567,0.5,1.2,1.2,1.0,17.22,10.0,63,132,Training,0.33353764614372566
129,0.476260423,0.5,1.1,1.1,1.0,17.22,10.0,63,132,Training,0.47353036763201095
130,0.509081229,0.5,1.0,1.0,1.0,17.22,10.0,63,132,Training,0.5665996910032068
133,0.368956741,0.5,1.2,1.2,1.0,12.78,11.11,88,139,Training,0.38024000158829496
134,0.479060095,0.5,1.1,1.1,1.0,12.78,11.11,88,139,Training,0.4821466756403592
135,0.576230706,0.5,1.0,1.0,1.0,12.78,11.11,88,139,Training,0.5199774055397138
136,0.372331527,0.5,1.11,1.0,0.9,12.78,11.11,88,139,Training,0.2822669344902666
137,0.879525394,0.5,1.25,1.0,0.8,12.78,11.11,88,139,Training,0.9674300017697149
139,0.462781497,0.5,1.1,1.1,1.0,15.0,12.22,82,146,Training,0.44759437713907113
140,0.563189777,0.5,1.0,1.0,1.0,15.0,12.22,82,146,Training,0.5288692176489748
142,0.919770884,0.5,1.25,1.0,0.8,15.0,12.22,82,146,Training,0.889815760260038
143,0.353683633,0.5,1.2,1.2,1.0,12.78,6.11,63,153,Training,0.35679941139627547
144,0.586818948,0.5,1.0,1.0,1.0,12.78,6.11,63,153,Training,0.47727498273763747
145,0.356698391,0.5,1.2,1.2,1.0,17.22,12.78,77,160,Training,0.30199707803161857
146,0.385475764,0.5,1.1,1.1,1.0,17.22,12.78,77,160,Training,0.3704693510690399
148,0.328186539,0.5,1.11,1.0,0.9,17.22,12.78,77,160,Training,0.3317266722562484
151,0.439298807,0.5,1.1,1.1,1.0,18.89,10.0,56,174,Training,0.4094653983577139
152,0.560664302,0.5,1.0,1.0,1.0,18.89,10.0,56,174,Training,0.5040898626647791
153,0.344411681,0.5,1.11,1.0,0.9,18.89,10.0,56,174,Training,0.29863292936612135
154,0.854300392,0.5,1.25,1.0,0.8,18.89,10.0,56,174,Training,0.7639675008532034
155,0.364228311,0.5,1.2,1.2,1.0,15.0,13.89,94,181,Training,0.31357425907072134
157,0.460062653,0.5,1.0,1.0,1.0,15.0,13.89,94,181,Training,0.4376521778390724
159,0.766864312,0.5,1.25,1.0,0.8,15.0,13.89,94,181,Training,0.8337940147351763
160,0.389181708,0.5,1.1,1.1,1.0,22.78,12.22,50,188,Training,0.4000196807455747
162,0.29017084,0.5,1.11,1.0,0.9,22.78,12.22,50,188,Training,0.26834788775762813
163,0.703070694,0.5,1.25,1.0,0.8,22.78,12.22,50,188,Training,0.5324933692857683
164,0.452497191,0.5,1.0,1.0,1.0,22.78,18.89,78,195,Training,0.4613719831666512
165,0.3175822,0.5,1.11,1.0,0.9,22.78,18.89,78,195,Training,0.2658311713842189
166,0.326595166,0.5,1.2,1.2,1.0,22.78,6.11,33,202,Training,0.32349730920539777
