index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
78,0.432386117,0.5,1.2,1.2,1.0,17.78,6.11,45,13,Training,0.43199430195
79,0.483637812,0.5,1.1,1.1,1.0,17.78,6.11,45,13,Training,0.48959058639999997
80,0.631244487,0.5,1.0,1.0,1.0,17.78,6.11,45,13,Training,0.6985295965
81,0.427945073,0.5,1.11,1.0,0.9,17.78,6.11,45,13,Training,0.44620357634999996
82,1.193734878,0.5,1.25,1.0,0.8,17.78,6.11,45,13,Training,1.1370617657500004
83,0.425753015,0.5,1.2,1.2,1.0,12.22,2.78,54,20,Training,0.43239535495000003
84,0.506974214,0.5,1.1,1.1,1.0,12.22,2.78,54,20,Training,0.48393941995
85,0.437369792,0.5,1.11,1.0,0.9,12.22,2.78,54,20,Training,0.4440233528500001
86,1.147635124,0.5,1.25,1.0,0.8,12.22,2.78,54,20,Training,1.1317962097500005
87,0.384668315,0.5,1.2,1.2,1.0,15.0,3.89,48,21,Training,0.40900682529999993
88,0.49736583,0.5,1.1,1.1,1.0,15.0,3.89,48,21,Training,0.4820415989
89,0.585049053,0.5,1.0,1.0,1.0,15.0,3.89,48,21,Training,0.6885808821
90,0.411925115,0.5,1.11,1.0,0.9,15.0,3.89,48,21,Training,0.41868468284999993
91,1.128362401,0.5,1.25,1.0,0.8,15.0,3.89,48,21,Training,1.1157512843500004
93,0.56834793,0.5,1.0,1.0,1.0,17.22,5.0,45,26,Training,0.6440399742999999
94,0.418292641,0.5,1.11,1.0,0.9,17.22,5.0,45,26,Training,0.42907138229999997
95,1.09658479,0.5,1.25,1.0,0.8,17.22,5.0,45,26,Training,1.1082754597500002
97,0.496965052,0.5,1.1,1.1,1.0,16.11,8.89,63,47,Training,0.4744588395000001
98,0.591496449,0.5,1.0,1.0,1.0,16.11,8.89,63,47,Training,0.6412731798499998
99,0.416701285,0.5,1.11,1.0,0.9,16.11,8.89,63,47,Training,0.41456389545000005
100,0.350119849,0.5,1.2,1.2,1.0,12.78,7.78,72,69,Training,0.3733908886
101,0.434195639,0.5,1.1,1.1,1.0,12.78,7.78,72,69,Training,0.44344034785
102,0.539906641,0.5,1.0,1.0,1.0,12.78,7.78,72,69,Training,0.5631862753499999
103,0.372726732,0.5,1.11,1.0,0.9,12.78,7.78,72,69,Training,0.3776728183500001
104,0.989863056,0.5,1.25,1.0,0.8,12.78,7.78,72,69,Training,1.0081018907000003
105,0.456260932,0.5,1.1,1.1,1.0,12.22,3.89,58,78,Training,0.46384896320000013
