index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time
92,0.453021355,0.5,1.1,1.1,1.0,17.22,5.0,45,26
93,0.56834793,0.5,1.0,1.0,1.0,17.22,5.0,45,26
94,0.418292641,0.5,1.11,1.0,0.9,17.22,5.0,45,26
95,1.09658479,0.5,1.25,1.0,0.8,17.22,5.0,45,26
96,0.386665943,0.5,1.2,1.2,1.0,16.11,8.89,63,47
97,0.496965052,0.5,1.1,1.1,1.0,16.11,8.89,63,47
98,0.591496449,0.5,1.0,1.0,1.0,16.11,8.89,63,47
99,0.416701285,0.5,1.11,1.0,0.9,16.11,8.89,63,47
100,0.350119849,0.5,1.2,1.2,1.0,12.78,7.78,72,69
101,0.434195639,0.5,1.1,1.1,1.0,12.78,7.78,72,69
102,0.539906641,0.5,1.0,1.0,1.0,12.78,7.78,72,69
103,0.372726732,0.5,1.11,1.0,0.9,12.78,7.78,72,69
104,0.989863056,0.5,1.25,1.0,0.8,12.78,7.78,72,69
105,0.456260932,0.5,1.1,1.1,1.0,12.22,3.89,58,78
106,0.536703421,0.5,1.0,1.0,1.0,12.22,3.89,58,78
107,0.385337873,0.5,1.11,1.0,0.9,12.22,3.89,58,78
108,0.372614967,0.5,1.2,1.2,1.0,12.22,10.0,88,98
109,0.4830183,0.5,1.1,1.1,1.0,12.22,10.0,88,98
110,0.561212369,0.5,1.0,1.0,1.0,12.22,10.0,88,98
111,0.388483675,0.5,1.11,1.0,0.9,12.22,10.0,88,98
112,0.989621572,0.5,1.25,1.0,0.8,12.22,10.0,88,98
113,0.356893347,0.5,1.2,1.2,1.0,17.22,1.11,34,104
114,0.574729323,0.5,1.0,1.0,1.0,17.22,1.11,34,104
115,0.340614017,0.5,1.11,1.0,0.9,17.22,1.11,34,104
116,0.892249893,0.5,1.25,1.0,0.8,17.22,1.11,34,104
117,0.371755573,0.5,1.2,1.2,1.0,16.11,2.78,42,111
118,0.468562853,0.5,1.1,1.1,1.0,16.11,2.78,42,111
119,0.579998859,0.5,1.0,1.0,1.0,16.11,2.78,42,111
120,0.400197432,0.5,1.11,1.0,0.9,16.11,2.78,42,111
121,0.941690931,0.5,1.25,1.0,0.8,16.11,2.78,42,111
122,0.352322598,0.5,1.2,1.2,1.0,16.11,8.89,63,118
123,0.403766566,0.5,1.1,1.1,1.0,16.11,8.89,63,118
124,0.366227516,0.5,1.11,1.0,0.9,16.11,8.89,63,118
125,0.363799107,0.5,1.2,1.2,1.0,15.0,11.11,77,125
126,0.429654858,0.5,1.1,1.1,1.0,15.0,11.11,77,125
127,0.3570133,0.5,1.11,1.0,0.9,15.0,11.11,77,125
128,0.369159567,0.5,1.2,1.2,1.0,17.22,10.0,63,132
129,0.476260423,0.5,1.1,1.1,1.0,17.22,10.0,63,132
130,0.509081229,0.5,1.0,1.0,1.0,17.22,10.0,63,132
131,0.37035753,0.5,1.11,1.0,0.9,17.22,10.0,63,132
132,0.967710542,0.5,1.25,1.0,0.8,17.22,10.0,63,132
133,0.368956741,0.5,1.2,1.2,1.0,12.78,11.11,88,139
134,0.479060095,0.5,1.1,1.1,1.0,12.78,11.11,88,139
135,0.576230706,0.5,1.0,1.0,1.0,12.78,11.11,88,139
136,0.372331527,0.5,1.11,1.0,0.9,12.78,11.11,88,139
137,0.879525394,0.5,1.25,1.0,0.8,12.78,11.11,88,139
138,0.355417298,0.5,1.2,1.2,1.0,15.0,12.22,82,146
139,0.462781497,0.5,1.1,1.1,1.0,15.0,12.22,82,146
140,0.563189777,0.5,1.0,1.0,1.0,15.0,12.22,82,146
141,0.354058686,0.5,1.11,1.0,0.9,15.0,12.22,82,146
142,0.919770884,0.5,1.25,1.0,0.8,15.0,12.22,82,146
143,0.353683633,0.5,1.2,1.2,1.0,12.78,6.11,63,153
144,0.586818948,0.5,1.0,1.0,1.0,12.78,6.11,63,153
145,0.356698391,0.5,1.2,1.2,1.0,17.22,12.78,77,160
146,0.385475764,0.5,1.1,1.1,1.0,17.22,12.78,77,160
147,0.555027614,0.5,1.0,1.0,1.0,17.22,12.78,77,160
148,0.328186539,0.5,1.11,1.0,0.9,17.22,12.78,77,160
149,0.804604174,0.5,1.25,1.0,0.8,17.22,12.78,77,160
150,0.370432077,0.5,1.2,1.2,1.0,18.89,10.0,56,174
151,0.439298807,0.5,1.1,1.1,1.0,18.89,10.0,56,174
152,0.560664302,0.5,1.0,1.0,1.0,18.89,10.0,56,174
153,0.344411681,0.5,1.11,1.0,0.9,18.89,10.0,56,174
154,0.854300392,0.5,1.25,1.0,0.8,18.89,10.0,56,174
155,0.364228311,0.5,1.2,1.2,1.0,15.0,13.89,94,181
156,0.430383646,0.5,1.1,1.1,1.0,15.0,13.89,94,181
157,0.460062653,0.5,1.0,1.0,1.0,15.0,13.89,94,181
158,0.265207881,0.5,1.11,1.0,0.9,15.0,13.89,94,181
159,0.766864312,0.5,1.25,1.0,0.8,15.0,13.89,94,181
160,0.389181708,0.5,1.1,1.1,1.0,22.78,12.22,50,188
161,0.493845342,0.5,1.0,1.0,1.0,22.78,12.22,50,188
162,0.29017084,0.5,1.11,1.0,0.9,22.78,12.22,50,188
163,0.703070694,0.5,1.25,1.0,0.8,22.78,12.22,50,188
164,0.452497191,0.5,1.0,1.0,1.0,22.78,18.89,78,195
165,0.3175822,0.5,1.11,1.0,0.9,22.78,18.89,78,195
166,0.326595166,0.5,1.2,1.2,1.0,22.78,6.11,33,202
